Periodo;Internet
31/12/2008;4,63
31/03/2009;5,26
30/06/2009;5,82
30/09/2009;6,46
31/12/2009;6,96
31/03/2010;7,20
30/06/2010;7,81
30/09/2010;8,83
31/12/2010;9,58
31/03/2011;10,93
30/06/2011;12,40
30/09/2011;13,00
31/12/2011;13,36
31/03/2012;13,84
30/06/2012;14,25
30/09/2012;15,11
31/12/2012;15,56
31/03/2013;15,98
30/06/2013;17,09
30/09/2013;17,93
31/12/2013;19,23
31/03/2014;19,96
30/06/2014;20,78
30/09/2014;21,18
31/12/2014;22,28
31/03/2015;23,75
30/06/2015;24,52
30/09/2015;25,45
31/12/2015;26,61
31/03/2016;28,12
30/06/2016;29,54
30/09/2016;31,04
31/12/2016;32,52
31/03/2017;32,99
30/06/2017;33,48
30/09/2017;33,79
31/12/2017;34,41
31/03/2018;34,61
30/06/2018;35,46
30/09/2018;36,25
31/12/2018;36,82
31/03/2019;37,07
30/06/2019;37,82
30/09/2019;38,53
31/12/2019;38,81
31/03/2020;39,46
30/06/2020;39,97
30/09/2020;41,32
31/12/2020;42,35
